complaint_type,borough,agency,incident_zip,target
66,3,10,153,1
66,1,10,105,1
40,0,7,77,0
66,0,10,65,1
8,2,10,2,1
42,2,9,22,1
107,2,9,25,0
9,3,10,148,1
47,2,10,32,1
9,3,10,148,1
37,2,11,13,0
42,1,9,128,1
66,3,10,164,1
74,1,9,120,1
66,1,10,117,1
47,1,10,101,1
18,1,6,121,1
9,3,10,133,1
42,3,9,153,1
62,4,10,54,1
68,3,10,144,1
42,1,9,120,1
39,1,3,121,1
42,3,9,92,1
66,0,10,66,1
47,0,10,60,1
15,3,0,154,1
2,4,10,51,1
2,1,10,114,1
42,2,9,29,1
9,1,10,119,1
80,0,7,77,1
107,0,9,84,0
9,0,10,65,1
47,0,10,77,1
89,1,3,114,0
42,1,9,105,1
46,4,10,53,1
47,1,10,120,1
54,2,1,9,1
62,1,10,113,1
9,0,10,84,1
42,1,9,111,1
67,2,10,13,1
61,2,1,21,1
42,3,9,176,1
42,2,9,30,1
45,0,7,65,0
47,3,10,162,1
40,2,7,24,1
61,3,1,154,1
66,3,10,151,1
9,3,10,153,1
63,2,8,20,0
42,0,9,70,1
47,0,10,75,1
47,1,10,129,1
66,1,10,118,1
109,0,1,66,1
63,2,8,20,0
17,3,9,166,1
20,1,7,121,1
47,1,10,96,1
66,3,10,154,1
47,1,10,118,1
47,3,10,160,1
66,1,10,100,1
47,1,10,130,1
42,1,9,116,1
66,1,10,128,1
67,1,10,124,1
69,3,10,165,1
101,1,9,117,0
8,2,10,2,1
66,1,10,126,1
47,1,10,94,1
62,2,10,28,1
9,3,10,144,1
66,3,10,148,1
47,3,10,144,1
61,3,1,136,1
48,4,7,59,1
26,1,10,101,1
47,3,10,88,1
66,1,10,118,1
42,0,9,76,1
66,1,10,118,1
47,1,10,127,1
66,1,10,120,1
42,0,9,65,1
47,1,10,121,1
66,0,10,69,1
8,2,10,2,1
2,1,10,130,1
47,1,10,119,1
66,1,10,100,1
42,1,9,120,1
47,1,10,97,1
42,3,9,173,1
37,2,11,8,0
58,3,7,155,1
62,0,10,68,1
47,1,10,103,1
75,2,9,29,0
9,3,10,133,1
42,0,9,72,1
42,1,9,125,1
107,2,9,30,0
46,1,10,105,1
42,0,9,81,1
54,2,1,28,1
47,0,10,75,1
2,3,10,89,1
102,1,4,100,1
33,1,10,103,1
2,1,10,130,1
42,0,9,69,1
47,3,10,151,1
42,0,9,71,1
47,0,10,70,1
9,1,10,131,1
87,1,4,114,0
58,3,7,167,1
63,2,8,20,0
62,3,10,138,1
42,0,9,66,1
47,0,10,76,1
42,2,9,28,1
33,2,2,9,1
66,3,10,136,1
9,3,10,144,1
101,2,9,29,0
42,1,9,124,1
9,1,10,125,1
66,3,10,175,1
8,2,10,2,1
74,1,9,109,0
15,1,0,110,0
42,3,9,143,1
47,1,10,129,1
66,3,10,134,1
62,1,10,108,1
22,1,7,118,1
67,2,10,22,1
42,1,9,96,1
69,2,10,26,1
31,2,3,29,0
60,2,6,22,0
9,0,10,70,1
9,1,10,104,1
66,1,10,109,1
38,0,9,81,1
42,1,9,117,1
88,2,4,33,0
28,3,9,88,1
9,3,10,151,1
105,1,7,101,1
109,1,1,121,1
66,2,10,23,1
107,0,9,65,0
47,2,10,22,1
47,1,10,100,1
42,0,9,61,1
59,2,4,22,0
62,3,10,149,1
9,0,10,71,1
37,1,11,103,0
68,2,10,30,1
42,3,9,89,1
47,3,10,134,1
66,0,10,65,1
66,2,10,26,1
47,3,10,154,1
9,3,10,154,1
2,0,10,74,1
66,3,10,134,1
66,1,10,94,1
66,1,10,120,1
75,4,9,51,1
42,1,9,95,1
67,2,10,31,1
63,2,8,20,0
23,3,7,150,1
38,1,9,118,0
9,3,10,159,1
107,0,9,65,1
22,1,7,102,1
2,3,10,154,1
47,1,10,106,1
66,2,10,29,1
45,3,7,88,1
